timestamp,dpid,packet_count,byte_count,duration_sec
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562039.5989323,2,2,196,2
1770562039.5989323,2,1,98,2
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
1770562040.5968568,1,2,196,3
1770562040.5968568,1,1,98,3
